,Year,StateAbbr,Data_Value,GeoLocation,Short_Question_Text,CityName,Median_Income
54,2016,CA,9.7,"(33.7308520326, -117.810730968)",Teeth Loss,Tustin,86174.0
55,2016,CA,75.5,"(37.6028390812, -122.018966106)",Pap Smear Test,Union City,105975.0
56,2016,CA,64.4,"(38.1135329247, -122.235518478)",Dental Visit,Vallejo,70216.0
57,2016,CA,64.7,"(34.0554415174, -117.91128206)",Dental Visit,West Covina,75939.0
58,2016,CA,65.7,"(33.9678255596, -118.018796341)",Dental Visit,Whittier,77986.0
3826,2016,CA,7.5,"(37.7650849031, -122.266489842)",Teeth Loss,Alameda,
4454,2016,CA,80.8,"(35.3323458474, -119.08522876)",Mammography,Bakersfield,
4457,2016,CA,38.3,"(37.9872041592, -121.856632936)",Sleep <7 hours,Antioch,80207.0
4459,2016,CA,13.1,"(33.8361368106, -117.911084312)",Teeth Loss,Anaheim,75065.0
4464,2016,CA,6.9,"(34.1039996898, -118.132169594)",Teeth Loss,Alhambra,
4474,2016,CA,74.6,"(37.9777042922, -121.796606971)",Mammography,Antioch,80207.0
4475,2016,CA,56.4,"(33.7931021528, -117.895540813)",Dental Visit,Anaheim,75065.0
4476,2016,CA,25.5,"(34.0820626794, -118.152649485)",Core preventive services for older men,Alhambra,
4480,2016,CA,27.3,"(33.8338399156, -117.997868179)",Core preventive services for older women,Anaheim,75065.0
4482,2016,CA,40.0,"(34.0841556114, -118.120186809)",Sleep <7 hours,Alhambra,
4483,2016,CA,71.7,"(37.9747186954, -121.829022075)",Colorectal Cancer Screening,Antioch,80207.0
4489,2016,CA,80.0,"(33.8549586608, -117.754398123)",Mammography,Anaheim,75065.0
4491,2016,CA,80.4,"(33.8046795846, -117.939994986)",Pap Smear Test,Anaheim,75065.0
4496,2016,CA,35.1,"(33.7998358056, -117.919151599)",Sleep <7 hours,Anaheim,75065.0
4499,2016,CA,66.2,"(34.0654918214, -118.150707726)",Dental Visit,Alhambra,
4508,2016,CA,54.7,"(33.7998358056, -117.919151599)",Dental Visit,Anaheim,75065.0
4509,2016,CA,64.2,"(37.9910653274, -121.836758185)",Dental Visit,Antioch,80207.0
4513,2016,CA,82.5,"(37.7515279664, -122.256729369)",Pap Smear Test,Alameda,
4516,2016,CA,77.5,"(33.845254373, -117.96885758)",Mammography,Anaheim,75065.0
4517,2016,CA,58.4,"(33.8370659137, -117.951967529)",Dental Visit,Anaheim,75065.0
4518,2016,CA,70.4,"(33.8291408807, -117.879478818)",Dental Visit,Anaheim,75065.0
4529,2016,CA,82.4,"(33.8251531695, -117.909510715)",Pap Smear Test,Anaheim,75065.0
4531,2016,CA,83.1,"(37.978243965, -121.7753476)",Pap Smear Test,Antioch,80207.0
4536,2016,CA,37.9,"(38.0004739373, -121.815570492)",Sleep <7 hours,Antioch,80207.0
4538,2016,CA,82.8,"(33.8507452825, -117.933024016)",Pap Smear Test,Anaheim,75065.0
4542,2016,CA,70.0,"(37.7811916268, -122.266079332)",Colorectal Cancer Screening,Alameda,
4543,2016,CA,80.6,"(33.7942563347, -117.937463318)",Pap Smear Test,Anaheim,75065.0
4557,2016,CA,14.5,"(33.8327569068, -117.896247223)",Teeth Loss,Anaheim,75065.0
4564,2016,CA,18.6,"(33.8564588116, -117.87359955)",Core preventive services for older women,Anaheim,75065.0
4566,2016,CA,61.5,"(38.0161211726, -121.823588932)",Colorectal Cancer Screening,Antioch,80207.0
4569,2016,CA,4.8,"(33.8436698107, -117.73381825)",Teeth Loss,Anaheim,75065.0
4575,2016,CA,22.8,"(33.8165525877, -117.988952219)",Teeth Loss,Anaheim,75065.0
4577,2016,CA,43.2,"(33.8165525877, -117.988952219)",Dental Visit,Anaheim,75065.0
4582,2016,CA,31.6,"(33.8668296663, -117.861029921)",Sleep <7 hours,Anaheim,75065.0
4584,2016,CA,33.0,"(33.7998358056, -117.919151599)",Core preventive services for older men,Anaheim,75065.0
4588,2016,CA,78.7,"(33.7583075501, -116.993526227)",Mammography,Hemet,
4593,2016,CA,73.2,"(37.753584501, -122.240032775)",Colorectal Cancer Screening,Alameda,
4595,2016,CA,82.4,"(33.8118445726, -117.890747767)",Pap Smear Test,Anaheim,75065.0
4596,2016,CA,73.9,"(37.9479261141, -121.799023393)",Dental Visit,Antioch,80207.0
4599,2016,CA,82.2,"(33.843436866, -117.897136189)",Pap Smear Test,Anaheim,75065.0
4617,2016,CA,70.6,"(37.9886734325, -121.766535622)",Colorectal Cancer Screening,Antioch,80207.0
4627,2016,CA,35.1,"(33.8440427268, -117.933112075)",Sleep <7 hours,Anaheim,75065.0
4628,2016,CA,81.4,"(33.8248553888, -117.980283972)",Pap Smear Test,Anaheim,75065.0
4629,2016,CA,63.7,"(33.8438174153, -117.876231081)",Dental Visit,Anaheim,75065.0
4631,2016,CA,15.8,"(33.8432690342, -117.948232836)",Teeth Loss,Anaheim,75065.0
4635,2016,CA,63.5,"(33.8389076996, -117.857613481)",Colorectal Cancer Screening,Anaheim,75065.0
4643,2016,CA,32.8,"(37.7596579223, -122.234298564)",Sleep <7 hours,Alameda,
4651,2016,CA,74.9,"(33.8599363608, -117.744313426)",Dental Visit,Anaheim,75065.0
4653,2016,CA,29.1,"(33.8247013817, -117.997775267)",Core preventive services for older women,Anaheim,75065.0
4655,2016,CA,28.5,"(33.8248553888, -117.980283972)",Core preventive services for older women,Anaheim,75065.0
4663,2016,CA,31.7,"(34.0821872967, -118.112757818)",Core preventive services for older women,Alhambra,
4664,2016,CA,33.6,"(37.9678839606, -121.769273216)",Core preventive services for older men,Antioch,80207.0
4665,2016,CA,31.3,"(33.8517269359, -117.812676309)",Sleep <7 hours,Anaheim,75065.0
4667,2016,CA,78.5,"(33.8564588116, -117.87359955)",Mammography,Anaheim,75065.0
4670,2016,CA,28.9,"(34.0961676852, -118.131602046)",Core preventive services for older women,Alhambra,
4676,2016,CA,76.8,"(33.8200999723, -117.93005789)",Mammography,Anaheim,75065.0
4697,2016,CA,60.7,"(33.7928458062, -117.910956373)",Dental Visit,Anaheim,75065.0
4698,2016,CA,34.9,"(33.8355379775, -117.979005097)",Sleep <7 hours,Anaheim,75065.0
4699,2016,CA,6.9,"(37.7645625166, -122.231170131)",Teeth Loss,Alameda,
4701,2016,CA,31.9,"(33.8440427268, -117.933112075)",Core preventive services for older men,Anaheim,75065.0
4702,2016,CA,78.2,"(33.843436866, -117.897136189)",Mammography,Anaheim,75065.0
4707,2016,CA,7.6,"(33.8674848069, -117.770719029)",Teeth Loss,Anaheim,75065.0
4710,2016,CA,33.3,"(33.8118445726, -117.890747767)",Core preventive services for older women,Anaheim,75065.0
4711,2016,CA,60.2,"(34.0876623737, -118.13028857)",Colorectal Cancer Screening,Alhambra,
4712,2016,CA,38.9,"(37.753584501, -122.240032775)",Core preventive services for older men,Alameda,
4727,2016,CA,80.2,"(33.8147305428, -118.00679258)",Pap Smear Test,Anaheim,75065.0
4728,2016,CA,78.1,"(37.7811916268, -122.266079332)",Mammography,Alameda,
4729,2016,CA,55.5,"(33.814174776, -117.97160886)",Colorectal Cancer Screening,Anaheim,75065.0
4735,2016,CA,77.8,"(37.9910653274, -121.836758185)",Mammography,Antioch,80207.0
4736,2016,CA,37.1,"(37.7698045486, -122.258245428)",Core preventive services for older women,Alameda,
4739,2016,CA,77.6,"(33.8046795846, -117.939994986)",Mammography,Anaheim,75065.0
4740,2016,CA,82.7,"(33.8576362735, -117.905345646)",Pap Smear Test,Anaheim,75065.0
4758,2016,CA,80.5,"(33.8338399156, -117.997868179)",Pap Smear Test,Anaheim,75065.0
4761,2016,CA,26.9,"(33.8106405883, -117.930540818)",Core preventive services for older women,Anaheim,75065.0
4763,2016,CA,39.8,"(33.8564588116, -117.87359955)",Dental Visit,Anaheim,75065.0
4765,2016,CA,83.7,"(37.7596579223, -122.234298564)",Pap Smear Test,Alameda,
4768,2016,CA,57.1,"(33.8432690342, -117.948232836)",Colorectal Cancer Screening,Anaheim,75065.0
4769,2016,CA,25.0,"(33.8440427268, -117.933112075)",Core preventive services for older women,Anaheim,75065.0
4770,2016,CA,27.5,"(38.0026146076, -121.848551585)",Core preventive services for older women,Antioch,80207.0
4772,2016,CA,9.9,"(34.0841556114, -118.120186809)",Teeth Loss,Alhambra,
4779,2016,CA,83.6,"(37.9479261141, -121.799023393)",Pap Smear Test,Antioch,80207.0
4790,2016,CA,27.0,"(34.1012449031, -118.121802023)",Core preventive services for older men,Alhambra,
4791,2016,CA,83.6,"(38.0088707918, -121.787481058)",Pap Smear Test,Antioch,80207.0
4795,2016,CA,77.2,"(34.0802793151, -118.139020746)",Mammography,Alhambra,
4799,2016,CA,74.5,"(33.8389076996, -117.857613481)",Mammography,Anaheim,75065.0
4802,2016,CA,57.7,"(33.8200999723, -117.93005789)",Colorectal Cancer Screening,Anaheim,75065.0
4803,2016,CA,62.0,"(33.8355379775, -117.979005097)",Dental Visit,Anaheim,75065.0
4811,2016,CA,64.6,"(34.1039996898, -118.132169594)",Colorectal Cancer Screening,Alhambra,
4812,2016,CA,27.3,"(33.8165525877, -117.988952219)",Core preventive services for older men,Anaheim,75065.0
4813,2016,CA,37.7,"(33.8487595268, -117.97905571)",Core preventive services for older men,Anaheim,75065.0
4816,2016,CA,29.6,"(33.6443693534, -117.958571291)",Sleep <7 hours,Huntington Beach,
4817,2016,CA,27.7,"(33.7931021528, -117.895540813)",Core preventive services for older women,Anaheim,75065.0
4821,2016,CA,80.2,"(33.8371616714, -117.819130684)",Mammography,Anaheim,75065.0
4822,2016,CA,78.6,"(33.8440427268, -117.933112075)",Mammography,Anaheim,75065.0
4832,2016,CA,78.2,"(34.6820996305, -118.15675647)",Mammography,Lancaster,
4837,2016,CA,79.0,"(37.7515279664, -122.256729369)",Mammography,Alameda,
4839,2016,CA,82.0,"(33.8487595268, -117.97905571)",Pap Smear Test,Anaheim,75065.0
4842,2016,CA,71.7,"(37.7596492992, -122.259970057)",Colorectal Cancer Screening,Alameda,
4843,2016,CA,10.3,"(34.0802793151, -118.139020746)",Teeth Loss,Alhambra,
4846,2016,CA,15.0,"(33.8064014823, -117.960787878)",Teeth Loss,Anaheim,75065.0
4857,2016,CA,77.8,"(33.8165525877, -117.988952219)",Mammography,Anaheim,75065.0
4862,2016,CA,73.7,"(33.8584405583, -117.773381329)",Colorectal Cancer Screening,Anaheim,75065.0
4871,2016,CA,73.8,"(34.0839734383, -118.135514119)",Pap Smear Test,Alhambra,
4873,2016,CA,62.8,"(38.005333162, -121.799441222)",Dental Visit,Antioch,80207.0
4875,2016,CA,35.0,"(33.8212595072, -117.956527741)",Core preventive services for older men,Anaheim,75065.0
4876,2016,CA,11.4,"(33.8231908735, -117.8766929)",Teeth Loss,Anaheim,75065.0
4884,2016,CA,60.1,"(33.8212595072, -117.956527741)",Dental Visit,Anaheim,75065.0
4886,2016,CA,83.4,"(33.8407663969, -117.792365644)",Pap Smear Test,Anaheim,75065.0
4887,2016,CA,32.4,"(37.9777042922, -121.796606971)",Core preventive services for older men,Antioch,80207.0
4891,2016,CA,35.0,"(33.7928458062, -117.910956373)",Sleep <7 hours,Anaheim,75065.0
4900,2016,CA,34.6,"(33.7931021528, -117.895540813)",Sleep <7 hours,Anaheim,75065.0
4908,2016,CA,58.4,"(33.8361368106, -117.911084312)",Colorectal Cancer Screening,Anaheim,75065.0
4911,2016,CA,17.3,"(33.8576362735, -117.905345646)",Teeth Loss,Anaheim,75065.0
4914,2016,CA,15.1,"(33.8246116473, -118.006504245)",Teeth Loss,Anaheim,75065.0
4918,2016,CA,74.4,"(37.7632235073, -122.272328908)",Dental Visit,Alameda,
4919,2016,CA,79.7,"(37.7666413788, -122.247540431)",Mammography,Alameda,
4920,2016,CA,78.0,"(33.7942563147, -117.916166236)",Mammography,Anaheim,75065.0
4922,2016,CA,35.4,"(38.005333162, -121.799441222)",Sleep <7 hours,Antioch,80207.0
4929,2016,CA,77.6,"(33.6847454156, -117.799132873)",Dental Visit,Irvine,
4931,2016,CA,71.7,"(33.8549586608, -117.754398123)",Colorectal Cancer Screening,Anaheim,75065.0
4934,2016,CA,35.4,"(33.8142413749, -117.941413973)",Sleep <7 hours,Anaheim,75065.0
4937,2016,CA,44.8,"(33.8371616714, -117.819130684)",Core preventive services for older men,Anaheim,75065.0
4942,2016,CA,37.0,"(37.7650849031, -122.266489842)",Core preventive services for older men,Alameda,
4946,2016,CA,78.1,"(33.8141312031, -117.910318547)",Mammography,Anaheim,75065.0
4950,2016,CA,27.9,"(33.8064014823, -117.960787878)",Core preventive services for older women,Anaheim,75065.0
4953,2016,CA,56.5,"(34.0736605777, -118.139349034)",Dental Visit,Alhambra,
4956,2016,CA,38.2,"(33.8165525877, -117.988952219)",Sleep <7 hours,Anaheim,75065.0
4964,2016,CA,11.8,"(33.8264302124, -117.948779823)",Teeth Loss,Anaheim,75065.0
4965,2016,CA,75.9,"(34.0821872967, -118.112757818)",Pap Smear Test,Alhambra,
4966,2016,CA,66.3,"(33.7990119072, -117.884213598)",Colorectal Cancer Screening,Anaheim,75065.0
4971,2016,CA,70.5,"(33.8328419648, -118.004862557)",Colorectal Cancer Screening,Anaheim,75065.0
4975,2016,CA,38.6,"(33.8446607353, -117.810738811)",Core preventive services for older women,Anaheim,75065.0
4977,2016,CA,78.8,"(33.8440749154, -117.858654218)",Mammography,Anaheim,75065.0
4978,2016,CA,31.1,"(33.8291408807, -117.879478818)",Sleep <7 hours,Anaheim,75065.0
4979,2016,CA,34.9,"(37.9762527602, -121.794017649)",Sleep <7 hours,Antioch,80207.0
4980,2016,CA,55.3,"(34.0832452578, -118.126062492)",Colorectal Cancer Screening,Alhambra,
4981,2016,CA,38.1,"(37.7714922387, -122.269058188)",Core preventive services for older men,Alameda,
4987,2016,CA,31.9,"(33.8200999723, -117.93005789)",Core preventive services for older men,Anaheim,75065.0
4989,2016,CA,41.6,"(33.8557291986, -117.706675627)",Core preventive services for older men,Anaheim,75065.0
4996,2016,CA,33.5,"(37.7811916268, -122.266079332)",Core preventive services for older women,Alameda,
4998,2016,CA,39.9,"(34.0802793151, -118.139020746)",Sleep <7 hours,Alhambra,
5000,2016,CA,78.7,"(38.0037018695, -121.827800231)",Mammography,Antioch,80207.0
5003,2016,CA,,"(33.8586851808, -117.816059691)",Dental Visit,Anaheim,75065.0
5004,2016,CA,34.1,"(37.7691701721, -122.285136575)",Sleep <7 hours,Alameda,
5005,2016,CA,29.8,"(33.8264302124, -117.948779823)",Core preventive services for older women,Anaheim,75065.0
5009,2016,CA,32.2,"(34.0869807008, -118.140160949)",Core preventive services for older women,Alhambra,
5021,2016,CA,35.2,"(37.9886734325, -121.766535622)",Core preventive services for older men,Antioch,80207.0
5026,2016,CA,7.5,"(37.7691701721, -122.285136575)",Teeth Loss,Alameda,
5028,2016,CA,36.5,"(33.8569694761, -117.85432006)",Core preventive services for older men,Anaheim,75065.0
5031,2016,CA,37.4,"(33.8247013817, -117.997775267)",Core preventive services for older men,Anaheim,75065.0
5036,2016,CA,58.7,"(33.8246116473, -118.006504245)",Colorectal Cancer Screening,Anaheim,75065.0
5039,2016,CA,57.5,"(33.8248553888, -117.980283972)",Dental Visit,Anaheim,75065.0
5042,2016,CA,6.8,"(34.0653167144, -118.140753823)",Teeth Loss,Alhambra,
5046,2016,CA,8.7,"(34.095187919, -118.118974009)",Teeth Loss,Alhambra,
5047,2016,CA,27.6,"(33.8407663969, -117.792365644)",Sleep <7 hours,Anaheim,75065.0
5050,2016,CA,30.0,"(33.8440749154, -117.858654218)",Core preventive services for older women,Anaheim,75065.0
5051,2016,CA,83.2,"(37.9919244869, -121.796422524)",Pap Smear Test,Antioch,80207.0
5052,2016,CA,56.8,"(34.0869807008, -118.140160949)",Colorectal Cancer Screening,Alhambra,
5054,2016,CA,71.6,"(33.8678828346, -117.804159058)",Colorectal Cancer Screening,Anaheim,75065.0
5061,2016,CA,33.7,"(33.8235014838, -118.013148379)",Core preventive services for older men,Anaheim,75065.0
5065,2016,CA,72.1,"(37.978243965, -121.7753476)",Dental Visit,Antioch,80207.0
5066,2016,CA,79.1,"(34.0710196323, -118.155044759)",Mammography,Alhambra,
5072,2016,CA,83.6,"(37.9519613326, -121.764047332)",Pap Smear Test,Antioch,80207.0
5074,2016,CA,78.9,"(34.0839734383, -118.135514119)",Pap Smear Test,Alhambra,
5077,2016,CA,70.5,"(37.7596492992, -122.259970057)",Dental Visit,Alameda,
5079,2016,CA,34.4,"(33.8064014823, -117.960787878)",Core preventive services for older men,Anaheim,75065.0
5081,2016,CA,78.5,"(33.8327569068, -117.896247223)",Mammography,Anaheim,75065.0
5085,2016,CA,38.7,"(33.8488293124, -117.769678979)",Core preventive services for older women,Anaheim,75065.0
5096,2016,CA,60.3,"(33.7931021528, -117.895540813)",Colorectal Cancer Screening,Anaheim,75065.0
5099,2016,CA,39.1,"(33.8436698107, -117.73381825)",Core preventive services for older women,Anaheim,75065.0
5103,2016,CA,40.7,"(34.0764498389, -118.125985021)",Sleep <7 hours,Alhambra,
5107,2016,CA,9.2,"(34.0820626794, -118.152649485)",Teeth Loss,Alhambra,
5125,2016,CA,32.2,"(37.9946847601, -121.830870655)",Core preventive services for older men,Antioch,80207.0
5127,2016,CA,14.5,"(33.8106405883, -117.930540818)",Teeth Loss,Anaheim,75065.0
5129,2016,CA,78.9,"(33.8370659137, -117.951967529)",Mammography,Anaheim,75065.0
5133,2016,CA,34.0,"(33.8576362735, -117.905345646)",Sleep <7 hours,Anaheim,75065.0
5134,2016,CA,62.3,"(33.8331828046, -117.963338724)",Colorectal Cancer Screening,Anaheim,75065.0
5142,2016,CA,45.6,"(33.7975401057, -117.902030511)",Dental Visit,Anaheim,75065.0
5143,2016,CA,31.7,"(33.8557291986, -117.706675627)",Sleep <7 hours,Anaheim,75065.0
5147,2016,CA,58.5,"(38.0026146076, -121.848551585)",Dental Visit,Antioch,80207.0
5152,2016,CA,35.1,"(33.8247750717, -117.989034563)",Sleep <7 hours,Anaheim,75065.0
5154,2016,CA,76.4,"(37.7645625166, -122.231170131)",Dental Visit,Alameda,
5159,2016,CA,61.9,"(34.1012449031, -118.121802023)",Colorectal Cancer Screening,Alhambra,
5160,2016,CA,54.1,"(34.0961676852, -118.131602046)",Colorectal Cancer Screening,Alhambra,
5161,2016,CA,36.1,"(34.0909207045, -118.153606642)",Sleep <7 hours,Alhambra,
5165,2016,CA,78.8,"(33.8389076996, -117.857613481)",Mammography,Anaheim,75065.0
5183,2016,CA,73.9,"(33.8371616714, -117.819130684)",Colorectal Cancer Screening,Anaheim,75065.0
5193,2016,CA,79.6,"(37.7431320606, -122.248971174)",Mammography,Alameda,
5194,2016,CA,78.4,"(33.8247013817, -117.997775267)",Mammography,Anaheim,75065.0
5198,2016,CA,41.6,"(33.8674848069, -117.770719029)",Core preventive services for older men,Anaheim,75065.0
5201,2016,CA,26.0,"(33.8361368106, -117.911084312)",Core preventive services for older women,Anaheim,75065.0
5205,2016,CA,79.3,"(37.7650849031, -122.266489842)",Pap Smear Test,Alameda,
5206,2016,CA,33.0,"(33.8104769351, -117.954510217)",Sleep <7 hours,Anaheim,75065.0
5211,2016,CA,6.0,"(37.7331115628, -122.241211914)",Teeth Loss,Alameda,
5222,2016,CA,21.2,"(33.8165525877, -117.988952219)",Core preventive services for older women,Anaheim,75065.0
5232,2016,CA,37.1,"(37.9715129517, -121.747885808)",Sleep <7 hours,Antioch,80207.0
5233,2016,CA,35.5,"(33.8466851958, -117.918730714)",Sleep <7 hours,Anaheim,75065.0
5234,2016,CA,62.0,"(34.0909207045, -118.153606642)",Dental Visit,Alhambra,
5239,2016,CA,20.5,"(33.843436866, -117.897136189)",Teeth Loss,Anaheim,75065.0
5241,2016,CA,83.9,"(33.8678828346, -117.804159058)",Pap Smear Test,Anaheim,75065.0
5249,2016,CA,64.2,"(34.0876623737, -118.13028857)",Dental Visit,Alhambra,
5260,2016,CA,63.1,"(33.8264302124, -117.948779823)",Dental Visit,Anaheim,75065.0
5262,2016,CA,32.9,"(33.8454140709, -117.83336722)",Sleep <7 hours,Anaheim,75065.0
5263,2016,CA,34.4,"(37.7811916268, -122.266079332)",Core preventive services for older men,Alameda,
5268,2016,CA,14.8,"(33.8248553888, -117.980283972)",Teeth Loss,Anaheim,75065.0
5270,2016,CA,77.2,"(34.0841556114, -118.120186809)",Mammography,Alhambra,
5271,2016,CA,8.5,"(33.8569694761, -117.85432006)",Teeth Loss,Anaheim,75065.0
5273,2016,CA,77.8,"(33.8235014838, -118.013148379)",Mammography,Anaheim,75065.0
5274,2016,CA,7.1,"(37.753584501, -122.240032775)",Teeth Loss,Alameda,
5277,2016,CA,32.5,"(34.095187919, -118.118974009)",Core preventive services for older women,Alhambra,
5278,2016,CA,32.8,"(38.0030202726, -121.768117374)",Core preventive services for older women,Antioch,80207.0
5279,2016,CA,54.4,"(33.845254373, -117.96885758)",Dental Visit,Anaheim,75065.0
5281,2016,CA,22.8,"(34.0719029813, -118.12558776)",Core preventive services for older men,Alhambra,
5291,2016,CA,30.0,"(33.8249718598, -117.971765748)",Core preventive services for older women,Anaheim,75065.0
5292,2016,CA,35.9,"(37.7650849031, -122.266489842)",Core preventive services for older women,Alameda,
5295,2016,CA,77.6,"(38.0088707918, -121.787481058)",Mammography,Antioch,80207.0
5300,2016,CA,74.9,"(34.0764498389, -118.125985021)",Pap Smear Test,Alhambra,
5313,2016,CA,36.1,"(34.0653167144, -118.140753823)",Core preventive services for older women,Alhambra,
5315,2016,CA,24.6,"(33.8211214135, -117.911078838)",Teeth Loss,Anaheim,75065.0
5316,2016,CA,32.5,"(33.8106405883, -117.930540818)",Core preventive services for older men,Anaheim,75065.0
5320,2016,CA,66.9,"(33.8104769351, -117.954510217)",Colorectal Cancer Screening,Anaheim,75065.0
5330,2016,CA,68.4,"(37.978243965, -121.7753476)",Colorectal Cancer Screening,Antioch,80207.0
5334,2016,CA,28.1,"(33.8235014838, -118.013148379)",Core preventive services for older women,Anaheim,75065.0
5337,2016,CA,79.0,"(37.7830855135, -122.306498973)",Mammography,Alameda,
5342,2016,CA,78.4,"(33.8436698107, -117.73381825)",Dental Visit,Anaheim,75065.0
5349,2016,CA,33.0,"(33.8282530996, -117.914756815)",Sleep <7 hours,Anaheim,75065.0
5350,2016,CA,80.2,"(33.8446607353, -117.810738811)",Mammography,Anaheim,75065.0
5355,2016,CA,39.2,"(33.7942563347, -117.937463318)",Core preventive services for older men,Anaheim,75065.0
5365,2016,CA,78.1,"(38.0161211726, -121.823588932)",Mammography,Antioch,80207.0
5366,2016,CA,61.1,"(34.0839734383, -118.135514119)",Dental Visit,Alhambra,
5367,2016,CA,75.0,"(37.753584501, -122.240032775)",Dental Visit,Alameda,
5370,2016,CA,8.5,"(34.1012449031, -118.121802023)",Teeth Loss,Alhambra,
5371,2016,CA,65.8,"(33.8231908735, -117.8766929)",Colorectal Cancer Screening,Anaheim,75065.0
5373,2016,CA,23.8,"(34.0802793151, -118.139020746)",Core preventive services for older men,Alhambra,
5376,2016,CA,83.9,"(33.8488293124, -117.769678979)",Pap Smear Test,Anaheim,75065.0
5382,2016,CA,59.4,"(33.8064014823, -117.960787878)",Colorectal Cancer Screening,Anaheim,75065.0
5385,2016,CA,36.3,"(37.9910653274, -121.836758185)",Sleep <7 hours,Antioch,80207.0
5400,2016,CA,32.4,"(37.7632235073, -122.272328908)",Sleep <7 hours,Alameda,
5405,2016,CA,39.7,"(37.7431320606, -122.248971174)",Core preventive services for older women,Alameda,
5407,2016,CA,82.9,"(33.8357946194, -117.928547693)",Pap Smear Test,Anaheim,75065.0
5409,2016,CA,81.1,"(33.7990119072, -117.884213598)",Pap Smear Test,Anaheim,75065.0
5410,2016,CA,34.9,"(37.9865795317, -121.815592406)",Core preventive services for older men,Antioch,80207.0
5423,2016,CA,31.2,"(33.8599363608, -117.744313426)",Sleep <7 hours,Anaheim,75065.0
5429,2016,CA,62.9,"(33.8440749154, -117.858654218)",Colorectal Cancer Screening,Anaheim,75065.0
5430,2016,CA,64.9,"(34.0653167144, -118.140753823)",Colorectal Cancer Screening,Alhambra,
5432,2016,CA,39.6,"(34.0951421487, -118.137717692)",Sleep <7 hours,Alhambra,
5433,2016,CA,67.1,"(37.9919244869, -121.796422524)",Dental Visit,Antioch,80207.0
5434,2016,CA,79.1,"(33.8158829981, -117.998309664)",Pap Smear Test,Anaheim,75065.0
5436,2016,CA,74.6,"(37.7698045486, -122.258245428)",Colorectal Cancer Screening,Alameda,
5441,2016,CA,20.1,"(33.8507452825, -117.933024016)",Teeth Loss,Anaheim,75065.0
